name,comm_cost,complexity,type
explored-168,0.7458116695551704,6,explored
explored-169,0.5412333911034086,17,explored
explored-170,0.26893173502792234,24,explored
explored-171,0.44399191218948586,15,explored
explored-172,0.35198223570190657,9,explored
explored-173,0.38569749342063053,15,explored
explored-174,0.38711727325245526,12,explored
explored-175,0.26214174529815804,15,explored
explored-176,0.21790751973810907,30,explored
explored-177,0.3107007028692472,16,explored
explored-178,0.43881787983824405,11,explored
explored-179,0.1656797612170231,16,explored
explored-180,0.42110774119006367,18,explored
explored-181,0.1829145002888506,17,explored
explored-182,0.4941448223570192,45,explored
explored-183,0.3041714808395919,21,explored
explored-184,0.2422251107259774,8,explored
explored-185,0.39465987868284236,9,explored
explored-186,0.3939929151421788,14,explored
explored-187,0.30866069709223964,13,explored
explored-188,0.3300386337377239,14,explored
explored-189,0.33256507157070425,16,explored
explored-190,0.4249189614224277,21,explored
explored-191,0.47923326272546385,51,explored
explored-192,0.5907531773541307,4,explored
explored-193,0.3271521358880546,21,explored
explored-194,0.4191491751717057,11,explored
explored-195,0.25078832081648383,8,explored
explored-196,0.4905762564991336,9,explored
explored-197,0.5191363373772386,9,explored
explored-198,0.5688125842480263,5,explored
explored-199,0.32447525515116515,20,explored
explored-200,0.4584717408049298,8,explored
explored-201,0.3467588580781824,16,explored
explored-202,0.02787406123627978,19,explored
explored-203,0.6393341998844599,12,explored
explored-204,0.4969153186982477,29,explored
explored-205,0.22778259195070305,25,explored
explored-206,0.21004838243789736,15,explored
explored-207,0.3769437223185058,19,explored
explored-208,0.21544627383015613,34,explored
explored-209,0.30536298863855205,7,explored
explored-210,0.28932878393991923,13,explored
explored-211,0.36409589832466804,17,explored
explored-212,0.7206816868861929,15,explored
explored-213,0.32156268053148485,17,explored
explored-214,0.3220681686886194,16,explored
explored-215,0.2572573656845756,18,explored
explored-216,0.4651183082996342,14,explored
explored-217,0.32989240323512437,13,explored
explored-218,0.43114368701457106,10,explored
explored-219,0.23596668592335857,13,explored
explored-220,0.400568072405161,21,explored
explored-221,0.4426010173952116,16,explored
explored-222,0.5115488999614868,27,explored
explored-223,0.1382871172732527,30,explored
explored-224,0.34885904101675347,19,explored
explored-225,0.3767832498876694,16,explored
explored-226,0.42979331150908284,10,explored
explored-227,0.3985593587521665,22,explored
explored-228,0.4757559111166132,48,explored
explored-229,0.1979437463893705,24,explored
explored-230,0.33931093138198876,21,explored
explored-231,0.5010952243404584,7,explored
explored-232,0.2908502631747868,18,explored
explored-233,0.19706816868861954,15,explored
explored-234,0.21146655754541388,24,explored
explored-235,0.34904859907567887,18,explored
explored-236,0.17856970922395554,19,explored
explored-237,0.1522722896206432,16,explored
explored-238,0.2489168110918547,16,explored
explored-239,0.4387595079915272,50,explored
explored-240,0.09255247448488368,20,explored
explored-241,0.24726996277039615,8,explored
explored-242,0.24863799024327649,12,explored
explored-243,0.21252166377816306,20,explored
explored-244,0.48482572694011195,20,explored
explored-245,0.24233824378971713,19,explored
explored-246,0.49385952243404596,8,explored
explored-247,0.4150258360613648,11,explored
explored-248,0.32390056325823235,10,explored
explored-249,0.37949924577957517,11,explored
explored-250,0.2670542075871367,10,explored
explored-251,0.47427426343154255,12,explored
explored-252,0.700101097631427,3,explored
explored-253,0.450083044482958,7,explored
explored-254,0.3437319468515311,16,explored
explored-255,0.40690563017523596,44,explored
explored-256,0.580222174080493,11,explored
explored-257,0.21593671769689982,24,explored
explored-258,0.3694998074330832,20,explored
explored-259,0.4187538112202325,13,explored
explored-260,0.6435225303292895,7,explored
explored-261,0.42135085692278074,17,explored
explored-262,0.424364529173888,9,explored
explored-263,0.21418255343731962,25,explored
explored-264,0.30265501636818815,18,explored
explored-265,0.28135831889081464,11,explored
explored-266,0.4249741238205278,21,explored
explored-267,0.4019082177931833,12,explored
explored-268,0.3399287502407088,16,explored
explored-269,0.4164740997496632,17,explored
explored-270,0.5213027151935299,10,explored
explored-271,0.5085331215097247,7,explored
explored-272,0.3469935490082806,15,explored
explored-273,0.31691218948584643,13,explored
explored-274,0.40348706592207484,7,explored
explored-275,0.3564293279414599,8,explored
explored-276,0.3060610437126903,20,explored
explored-277,0.25759235188394647,24,explored
explored-278,0.24176776429809377,18,explored
explored-279,0.34194969991655455,24,explored
explored-280,0.29069179664933587,20,explored
explored-281,0.4411214615829002,11,explored
explored-282,0.5730310032736377,10,explored
explored-283,0.32632871172732547,5,explored
explored-284,0.33076196321971896,38,explored
explored-285,0.2781468643687016,13,explored
explored-286,0.7234979780473715,15,explored
explored-287,0.6561958405545928,12,explored
explored-288,0.34618717504332763,13,explored
explored-289,0.3687046665382889,27,explored
explored-290,0.48807589543616414,19,explored
explored-291,0.03697284806470269,19,explored
explored-292,0.3688258232235704,18,explored
explored-293,0.3748555748122475,11,explored
explored-294,0.4187066724436743,19,explored
explored-295,0.8190352397458117,6,explored
explored-296,0.4667597406765519,34,explored
explored-297,0.4446610822260737,15,explored
explored-298,0.44378971692663216,13,explored
explored-299,0.2088027151935299,16,explored
explored-300,0.5289572501444253,9,explored
explored-301,0.6094742923165801,10,explored
explored-302,0.21308131138070507,26,explored
explored-303,0.49927787406123636,16,explored
explored-304,0.3171486857307916,18,explored
explored-305,0.6257702676680147,13,explored
explored-306,0.550621028307337,15,explored
explored-307,0.500541594454073,10,explored
explored-308,0.5554376283779447,30,explored
explored-309,0.37412943706271284,9,explored
explored-310,0.3010783747352206,15,explored
explored-311,0.43133785865588314,19,explored
explored-312,0.22505054881571374,27,explored
explored-313,0.31566230984016963,38,explored
explored-314,0.5992513961101484,12,explored
explored-315,0.5790727902946274,5,explored
explored-316,0.2954758809936454,17,explored
explored-317,0.4622809551319085,12,explored
explored-318,0.45126853456576166,21,explored
explored-319,0.5155437608318892,18,explored
explored-320,0.43471981513575986,9,explored
explored-321,0.45643173502792234,11,explored
explored-322,0.42606032158675156,15,explored
explored-323,0.3725243115732718,20,explored
explored-324,0.6894497400346622,7,explored
explored-325,0.3164897458116698,43,explored
explored-326,0.32959633160023116,5,explored
explored-327,0.4161100279222031,28,explored
explored-328,0.40024732813402664,18,explored
explored-329,0.22831215097246305,17,explored
explored-330,0.414524359715001,14,explored
explored-331,0.35417769914628683,8,explored
explored-332,0.23156171769689993,22,explored
explored-333,0.4615200951601516,39,explored
explored-334,0.341782206816869,17,explored
explored-335,0.4441166795044613,7,explored
explored-336,0.2541522241478915,15,explored
explored-337,0.18035095320623928,31,explored
